## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectWgsMetrics INPUT=out___/s_RA17_22_33_2.bam OUTPUT=out___/s_RA17_22_33_2___WGS.txt REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 24 00:00:54 EST 2018

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X
2900434419	110.070808	25.839007	113	11	0.041482	0	0.000612	0.023781	0.027709	0.016847	0.110432	0.980633	0.978746	0.977239	0.975904	0.974669	0.973461	0.970899	0.96765	0.963082	0.955957	0.940784	0.898599	0.787872

## HISTOGRAM	java.lang.Integer
coverage	count
0	47782908
1	3346151
2	2047090
3	1613074
4	1383434
5	1240961
6	1150704
7	1082713
8	1024598
9	974707
10	937909
11	902449
12	868836
13	841927
14	819359
15	803510
16	791136
17	772973
18	756509
19	747607
20	736808
21	721809
22	714317
23	708823
24	701917
25	701257
26	701648
27	699522
28	698282
29	700621
30	703409
31	710003
32	715614
33	722943
34	731961
35	741228
36	753550
37	768556
38	784388
39	801246
40	819534
41	843138
42	864846
43	891629
44	916937
45	949826
46	981115
47	1014234
48	1052818
49	1089652
50	1125032
51	1163569
52	1207341
53	1248548
54	1292760
55	1337443
56	1386917
57	1438661
58	1492370
59	1555059
60	1618758
61	1693734
62	1772836
63	1859994
64	1956445
65	2069501
66	2193698
67	2335674
68	2493148
69	2672985
70	2875900
71	3108111
72	3372553
73	3669423
74	4013987
75	4394464
76	4832524
77	5328201
78	5887055
79	6524885
80	7241010
81	8055212
82	8954930
83	9967674
84	11094454
85	12342782
86	13727878
87	15267971
88	16937934
89	18766274
90	20753062
91	22912431
92	25213444
93	27668070
94	30270754
95	32999082
96	35846304
97	38792682
98	41814262
99	44886200
100	47974398
101	51057786
102	54086733
103	57048692
104	59894219
105	62561835
106	65066260
107	67333270
108	69350617
109	71059202
110	72453738
111	73511023
112	74231493
113	74585046
114	74563629
115	74168548
116	73387222
117	72293123
118	70848091
119	69111204
120	67084824
121	64783738
122	62278651
123	59587287
124	56760740
125	53817196
126	50790252
127	47718634
128	44626661
129	41558118
130	38518125
131	35566750
132	32690046
133	29933673
134	27298672
135	24816386
136	22451026
137	20235108
138	18193580
139	16275703
140	14532931
141	12925131
142	11457748
143	10138425
144	8940128
145	7859300
146	6895162
147	6034632
148	5271182
149	4600773
150	4004893
151	3487264
152	3036015
153	2638514
154	2291359
155	1993254
156	1732111
157	1511091
158	1316490
159	1150210
160	1007896
161	881287
162	776684
163	686769
164	608893
165	544059
166	485748
167	436808
168	394115
169	359454
170	327896
171	299812
172	277176
173	257924
174	240317
175	225342
176	212686
177	201539
178	191596
179	182691
180	174725
181	167895
182	161695
183	156007
184	150594
185	146253
186	142845
187	138944
188	135590
189	132380
190	129851
191	127185
192	124376
193	122567
194	119377
195	118648
196	116644
197	115246
198	113750
199	112172
200	111587
201	111015
202	108750
203	108206
204	107137
205	106905
206	106147
207	105171
208	104169
209	104280
210	103465
211	103475
212	102692
213	102273
214	101951
215	100992
216	100573
217	100140
218	99105
219	98441
220	98160
221	97449
222	95977
223	95214
224	94451
225	93658
226	93051
227	91683
228	91131
229	90110
230	88619
231	87690
232	86419
233	85811
234	84481
235	83533
236	82136
237	80753
238	79615
239	78354
240	77291
241	75706
242	75091
243	73992
244	72990
245	71314
246	70406
247	69406
248	68179
249	67371
250	7890384

