## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta INPUT=out___/s_RA17_22_2_1.bam OUTPUT=out___/s_RA17_22_2_1___GCB.txt CHART_OUTPUT=out___/s_RA17_22_2_1___GCB.pdf SUMMARY_OUTPUT=out___/s_RA17_22_2_1___GCBsummary.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 ASSUME_SORTED=false IS_BISULFITE_SEQUENCED=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 18:00:37 EST 2018

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
0	147859	21149	15	0.513783	0.003533
1	108735	8866	15	0.292885	0.003111
2	125328	11178	16	0.320372	0.00303
3	161707	56439	19	1.253685	0.005277
4	172430	23642	16	0.492504	0.003203
5	176048	24193	17	0.493624	0.003174
6	197132	29606	17	0.539462	0.003135
7	207827	34379	18	0.594195	0.003205
8	233446	42370	17	0.651944	0.003167
9	260866	51544	18	0.709739	0.003126
10	302776	65414	17	0.776046	0.003034
11	366886	86753	18	0.849359	0.002884
12	475988	119141	19	0.89909	0.002605
13	625806	165537	19	0.950153	0.002335
14	884586	230773	20	0.937094	0.001951
15	1299770	351563	21	0.971571	0.001639
16	1939300	542058	21	1.004012	0.001364
17	2908647	865480	22	1.068819	0.001149
18	4359342	1287009	22	1.060471	0.000935
19	6430002	1919161	22	1.072108	0.000774
20	9284118	2774500	22	1.073451	0.000644
21	13051720	3862308	22	1.062961	0.000541
22	17810187	5166409	23	1.041977	0.000458
23	23626936	6700576	23	1.018692	0.000394
24	30480566	8459574	24	0.996927	0.000343
25	38211236	10475201	24	0.984712	0.000304
26	46523994	12609068	25	0.973518	0.000274
27	55206768	14851883	25	0.966334	0.000251
28	63974508	17134748	25	0.962075	0.000232
29	72527056	19397864	25	0.960709	0.000218
30	80679703	21550037	25	0.959449	0.000207
31	88258407	23584123	25	0.959846	0.000198
32	94991572	25536880	25	0.965652	0.000191
33	100740761	27342444	25	0.974923	0.000186
34	105345024	29015781	25	0.989369	0.000184
35	108891484	30511694	24	1.006492	0.000182
36	111158823	31666165	24	1.023268	0.000182
37	111918627	32374488	24	1.039055	0.000183
38	110882356	32482357	23	1.05226	0.000185
39	108379615	32037945	23	1.06183	0.000188
40	104836501	30983665	23	1.061594	0.000191
41	100572106	29396950	23	1.049936	0.000194
42	95856492	27654849	23	1.036305	0.000197
43	91174666	25852381	23	1.018508	0.0002
44	86951806	24134301	23	0.996998	0.000203
45	83368003	22791690	24	0.982008	0.000206
46	80367152	21593891	24	0.96514	0.000208
47	77839892	20756452	24	0.957831	0.00021
48	75195920	19942830	24	0.952644	0.000213
49	71904126	19019223	24	0.950117	0.000218
50	67723470	17907256	24	0.949791	0.000224
51	62843327	16624158	24	0.950208	0.000233
52	57797477	15329802	24	0.952721	0.000243
53	53096114	14146036	24	0.956996	0.000254
54	48909387	13118102	24	0.963423	0.000266
55	45220793	12238860	24	0.972167	0.000278
56	41676495	11367411	24	0.979735	0.000291
57	37911902	10429785	24	0.988184	0.000306
58	33761496	9362565	24	0.996119	0.000326
59	29258970	8173026	23	1.003372	0.000351
60	24743566	6980431	23	1.013347	0.000384
61	20577658	5869576	23	1.024587	0.000423
62	17020594	4912527	23	1.036736	0.000468
63	14078001	4119114	23	1.050995	0.000518
64	11648917	3456932	22	1.065966	0.000573
65	9624766	2892468	22	1.079485	0.000635
66	7943555	2421872	22	1.095152	0.000704
67	6468111	2001673	22	1.111613	0.000786
68	5185515	1633921	21	1.13182	0.000885
69	4154938	1327233	21	1.147415	0.000996
70	3335654	1071936	21	1.154319	0.001115
71	2671391	865339	21	1.163555	0.001251
72	2159293	702529	21	1.168667	0.001394
73	1761243	582625	20	1.18825	0.001557
74	1448491	488584	20	1.211606	0.001733
75	1216775	419673	20	1.238907	0.001912
76	1047070	361866	20	1.241395	0.002064
77	919438	321414	20	1.255684	0.002215
78	816646	287709	19	1.265487	0.002359
79	713614	248052	19	1.248583	0.002507
80	608483	210881	19	1.244879	0.002711
81	510800	178801	19	1.257353	0.002974
82	428056	150611	18	1.263846	0.003257
83	351779	126525	18	1.291946	0.003632
84	274259	107024	18	1.40171	0.004285
85	198758	80005	18	1.445874	0.005112
86	131616	56354	17	1.537992	0.006479
87	85463	38870	17	1.633708	0.008286
88	58702	25192	17	1.541515	0.009712
89	38045	19104	17	1.803702	0.01305
90	24959	11414	16	1.642664	0.015376
91	15854	17575	17	3.981938	0.030036
92	9379	4788	16	1.833731	0.026501
93	5880	4046	16	2.471648	0.038857
94	3408	7353	15	7.750023	0.09038
95	1663	311129	18	672.026313	1.204803
96	986	46399	16	169.032315	0.784721
97	658	290690	14	1586.873224	2.94325
98	328	257144	16	2816.051452	5.553316
99	133	109759	16	2964.329899	8.947598
100	339	88	14	0.93244	0.099398


