## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[out___/s_RA17_22_35_1.bam] OUTPUT=out___/s_RA17_22_35_1___MD.bam METRICS_FILE=out___/s_RA17_22_35_1___MD.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 24 01:01:25 EST 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
s_RA17_22_35_1	1231510	1006244750	1796362	494981	65760878	50650746	0.065559	29897429578

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.052118
2.0	2.069414
3.0	3.053041
4.0	4.004114
5.0	4.92371
6.0	5.81287
7.0	6.672602
8.0	7.50388
9.0	8.307646
10.0	9.08481
11.0	9.836252
12.0	10.562825
13.0	11.26535
14.0	11.944625
15.0	12.601417
16.0	13.236472
17.0	13.850509
18.0	14.444224
19.0	15.018289
20.0	15.573354
21.0	16.110048
22.0	16.62898
23.0	17.130737
24.0	17.615888
25.0	18.084982
26.0	18.53855
27.0	18.977107
28.0	19.401149
29.0	19.811157
30.0	20.207595
31.0	20.590913
32.0	20.961544
33.0	21.319908
34.0	21.666412
35.0	22.001447
36.0	22.325395
37.0	22.63862
38.0	22.941479
39.0	23.234315
40.0	23.517459
41.0	23.791231
42.0	24.055943
43.0	24.311893
44.0	24.559373
45.0	24.798662
46.0	25.030031
47.0	25.253743
48.0	25.470051
49.0	25.679199
50.0	25.881426
51.0	26.076959
52.0	26.266021
53.0	26.448826
54.0	26.625581
55.0	26.796486
56.0	26.961734
57.0	27.121513
58.0	27.276004
59.0	27.425382
60.0	27.569816
61.0	27.70947
62.0	27.844502
63.0	27.975064
64.0	28.101306
65.0	28.223369
66.0	28.341393
67.0	28.45551
68.0	28.56585
69.0	28.672539
70.0	28.775696
71.0	28.87544
72.0	28.971882
73.0	29.065132
74.0	29.155297
75.0	29.242477
76.0	29.326771
77.0	29.408276
78.0	29.487083
79.0	29.563282
80.0	29.636959
81.0	29.708198
82.0	29.777079
83.0	29.84368
84.0	29.908077
85.0	29.970342
86.0	30.030547
87.0	30.088759
88.0	30.145045
89.0	30.199468
90.0	30.252089
91.0	30.302969
92.0	30.352165
93.0	30.399733
94.0	30.445727
95.0	30.490198
96.0	30.533197
97.0	30.574774
98.0	30.614974
99.0	30.653844
100.0	30.691427

