## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta INPUT=out___/s_RA17_22_6_2.bam OUTPUT=out___/s_RA17_22_6_2___GCB.txt CHART_OUTPUT=out___/s_RA17_22_6_2___GCB.pdf SUMMARY_OUTPUT=out___/s_RA17_22_6_2___GCBsummary.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 ASSUME_SORTED=false IS_BISULFITE_SEQUENCED=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 24 03:53:47 EST 2018

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
0	147859	40828	15	0.326337	0.001615
1	108735	23258	16	0.252789	0.001658
2	125328	29102	16	0.274429	0.001609
3	161707	125241	19	0.915321	0.002586
4	172430	60467	17	0.41444	0.001685
5	176048	63867	17	0.428747	0.001697
6	197132	77809	17	0.466475	0.001672
7	207827	92103	18	0.523754	0.001726
8	233446	113866	18	0.576453	0.001708
9	260866	141464	18	0.640891	0.001704
10	302776	181596	18	0.708828	0.001663
11	366886	242551	18	0.781318	0.001586
12	475988	332927	19	0.826626	0.001433
13	625806	471420	20	0.890275	0.001297
14	884586	671560	21	0.897224	0.001095
15	1299770	1033389	21	0.939622	0.000924
16	1939300	1598272	22	0.974006	0.00077
17	2908647	2525903	22	1.026317	0.000646
18	4359342	3780948	22	1.025028	0.000527
19	6430002	5633340	23	1.035406	0.000436
20	9284118	8152688	23	1.037806	0.000363
21	13051720	11407260	23	1.032927	0.000306
22	17810187	15389993	23	1.021235	0.00026
23	23626936	20141323	24	1.00748	0.000224
24	30480566	25618537	24	0.993316	0.000196
25	38211236	31827960	25	0.984405	0.000174
26	46523994	38453426	25	0.976819	0.000158
27	55206768	45389223	25	0.971665	0.000144
28	63974508	52454564	25	0.969019	0.000134
29	72527056	59379673	25	0.967595	0.000126
30	80679703	65966059	25	0.9663	0.000119
31	88258407	72198346	25	0.966779	0.000114
32	94991572	78042899	25	0.970967	0.00011
33	100740761	83379398	25	0.978159	0.000107
34	105345024	88205764	25	0.989553	0.000105
35	108891484	92413624	25	1.002993	0.000104
36	111158823	95595466	24	1.016364	0.000104
37	111918627	97398532	24	1.028504	0.000104
38	110882356	97567862	24	1.039921	0.000105
39	108379615	96077457	23	1.047683	0.000107
40	104836501	92911182	23	1.047397	0.000109
41	100572106	88369044	23	1.038433	0.00011
42	95856492	83314489	23	1.0272	0.000113
43	91174666	78168697	23	1.013245	0.000115
44	86951806	73347613	24	0.996927	0.000116
45	83368003	69508035	24	0.985352	0.000118
46	80367152	66135383	24	0.972548	0.00012
47	77839892	63728828	24	0.967586	0.000121
48	75195920	61276874	24	0.963071	0.000123
49	71904126	58436059	24	0.960468	0.000126
50	67723470	55028999	24	0.960303	0.000129
51	62843327	51056741	24	0.960174	0.000134
52	57797477	47088398	24	0.962855	0.00014
53	53096114	43440430	24	0.966913	0.000147
54	48909387	40269251	24	0.973055	0.000153
55	45220793	37529154	24	0.980814	0.00016
56	41676495	34849557	24	0.988239	0.000167
57	37911902	31952307	24	0.996053	0.000176
58	33761496	28658792	24	1.003211	0.000187
59	29258970	25043269	24	1.011551	0.000202
60	24743566	21383281	23	1.021334	0.000221
61	20577658	17984812	23	1.032918	0.000244
62	17020594	15074730	23	1.046721	0.00027
63	14078001	12659062	23	1.062714	0.000299
64	11648917	10635392	23	1.079006	0.000331
65	9624766	8920311	22	1.095332	0.000367
66	7943555	7476333	22	1.11232	0.000407
67	6468111	6178834	22	1.128977	0.000454
68	5185515	5051365	21	1.151258	0.000512
69	4154938	4093215	21	1.164276	0.000575
70	3335654	3316310	21	1.174979	0.000645
71	2671391	2679855	21	1.185577	0.000724
72	2159293	2185107	21	1.195961	0.000809
73	1761243	1815513	20	1.218249	0.000904
74	1448491	1519014	20	1.239373	0.001006
75	1216775	1302579	20	1.265172	0.001109
76	1047070	1124324	20	1.269029	0.001197
77	919438	999696	20	1.284995	0.001285
78	816646	896539	19	1.297452	0.00137
79	713614	774843	19	1.283235	0.001458
80	608483	656922	19	1.275914	0.001574
81	510800	559349	19	1.29416	0.00173
82	428056	469800	18	1.297085	0.001892
83	351779	392592	18	1.318947	0.002105
84	274259	329769	18	1.421035	0.002475
85	198758	247892	18	1.473988	0.00296
86	131616	173171	17	1.554971	0.003737
87	85463	117760	17	1.628454	0.004745
88	58702	76179	17	1.533693	0.005557
89	38045	57310	17	1.780282	0.007437
90	24959	35023	16	1.658373	0.008861
91	15854	53124	17	3.960115	0.017182
92	9379	14711	16	1.853709	0.015283
93	5880	12796	16	2.571893	0.022736
94	3408	18704	15	6.486208	0.047427
95	1663	500721	17	355.843869	0.502877
96	986	113010	16	135.455265	0.402937
97	658	549071	15	986.185344	1.330897
98	328	604923	16	2179.627029	2.802413
99	133	246633	15	2191.570651	4.412959
100	339	234	14	0.815778	0.053329


