## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta INPUT=out___/s_RA17_22_4_1.bam OUTPUT=out___/s_RA17_22_4_1___GCB.txt CHART_OUTPUT=out___/s_RA17_22_4_1___GCB.pdf SUMMARY_OUTPUT=out___/s_RA17_22_4_1___GCBsummary.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 ASSUME_SORTED=false IS_BISULFITE_SEQUENCED=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 24 01:34:47 EST 2018

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
0	147859	40293	15	0.348162	0.001734
1	108735	21986	15	0.258331	0.001742
2	125328	27752	16	0.282908	0.001698
3	161707	166772	20	1.317632	0.003227
4	172430	61131	16	0.452948	0.001832
5	176048	63049	17	0.457559	0.001822
6	197132	76228	17	0.494034	0.001789
7	207827	88269	18	0.542633	0.001826
8	233446	110425	18	0.604339	0.001819
9	260866	135350	18	0.662889	0.001802
10	302776	170642	18	0.720053	0.001743
11	366886	228958	18	0.797305	0.001666
12	475988	318241	19	0.854201	0.001514
13	625806	447770	20	0.914145	0.001366
14	884586	627581	21	0.90642	0.001144
15	1299770	969152	21	0.952632	0.000968
16	1939300	1494497	22	0.984577	0.000805
17	2908647	2379121	22	1.045022	0.000678
18	4359342	3540396	22	1.037602	0.000551
19	6430002	5269072	23	1.046942	0.000456
20	9284118	7632161	23	1.050284	0.00038
21	13051720	10658634	23	1.043359	0.00032
22	17810187	14346461	23	1.029144	0.000272
23	23626936	18748144	24	1.013796	0.000234
24	30480566	23796120	24	0.997431	0.000204
25	38211236	29545015	24	0.987854	0.000182
26	46523994	35654197	25	0.979114	0.000164
27	55206768	42080255	25	0.973836	0.00015
28	63974508	48634733	25	0.971269	0.000139
29	72527056	55056359	25	0.969856	0.000131
30	80679703	61156206	25	0.968447	0.000124
31	88258407	66942401	25	0.969047	0.000118
32	94991572	72402911	25	0.973802	0.000114
33	100740761	77410756	25	0.981739	0.000112
34	105345024	81960357	25	0.994007	0.00011
35	108891484	85981875	24	1.008818	0.000109
36	111158823	89026271	24	1.023232	0.000108
37	111918627	90767347	24	1.036161	0.000109
38	110882356	90965671	23	1.048129	0.00011
39	108379615	89623557	23	1.056512	0.000112
40	104836501	86590489	23	1.055255	0.000113
41	100572106	82214623	23	1.044411	0.000115
42	95856492	77417253	23	1.031849	0.000117
43	91174666	72470950	23	1.015523	0.000119
44	86951806	67827972	23	0.996621	0.000121
45	83368003	64160708	24	0.983263	0.000123
46	80367152	60912189	24	0.968335	0.000124
47	77839892	58620475	24	0.962159	0.000126
48	75195920	56300234	24	0.956568	0.000127
49	71904126	53671001	24	0.953643	0.00013
50	67723470	50495061	24	0.952598	0.000134
51	62843327	46856064	24	0.952591	0.000139
52	57797477	43196983	24	0.95487	0.000145
53	53096114	39822911	24	0.958231	0.000152
54	48909387	36879739	24	0.963375	0.000159
55	45220793	34352937	24	0.970567	0.000166
56	41676495	31900141	24	0.977915	0.000173
57	37911902	29211658	24	0.98442	0.000182
58	33761496	26199011	24	0.991432	0.000194
59	29258970	22863484	23	0.998351	0.000209
60	24743566	19515889	23	1.007687	0.000228
61	20577658	16386985	23	1.017426	0.000251
62	17020594	13716245	23	1.02958	0.000278
63	14078001	11500507	23	1.0437	0.000308
64	11648917	9647783	22	1.058137	0.000341
65	9624766	8080171	22	1.072581	0.000377
66	7943555	6760540	22	1.087342	0.000418
67	6468111	5574389	22	1.101082	0.000466
68	5185515	4556469	21	1.122629	0.000526
69	4154938	3686883	21	1.133691	0.00059
70	3335654	2980621	21	1.14163	0.000661
71	2671391	2401804	21	1.148682	0.000741
72	2159293	1955048	20	1.156766	0.000827
73	1761243	1622247	20	1.176786	0.000924
74	1448491	1355070	20	1.195214	0.001027
75	1216775	1156808	20	1.214649	0.001129
76	1047070	998172	20	1.21795	0.001219
77	919438	886506	20	1.231853	0.001308
78	816646	792208	19	1.239382	0.001392
79	713614	685808	19	1.227832	0.001483
80	608483	579695	19	1.217169	0.001599
81	510800	490503	19	1.226847	0.001752
82	428056	413965	18	1.235557	0.00192
83	351779	346259	18	1.257566	0.002137
84	274259	289420	18	1.348241	0.002506
85	198758	216961	18	1.394623	0.002994
86	131616	151177	17	1.467496	0.003774
87	85463	103881	17	1.552951	0.004818
88	58702	65975	17	1.435907	0.00559
89	38045	49729	17	1.669983	0.007489
90	24959	30268	16	1.549374	0.008906
91	15854	46296	17	3.730821	0.017339
92	9379	12614	16	1.718288	0.015299
93	5880	11237	16	2.441591	0.023033
94	3408	17895	15	6.7086	0.050149
95	1663	495338	17	380.547772	0.540702
96	986	108893	16	141.098642	0.427585
97	658	636210	15	1235.305526	1.548724
98	328	596120	16	2321.986209	3.007411
99	133	247873	15	2381.098541	4.782586
100	339	193	14	0.727373	0.052357


