## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta INPUT=out___/s_RA17_22_33_2.bam OUTPUT=out___/s_RA17_22_33_2___GCB.txt CHART_OUTPUT=out___/s_RA17_22_33_2___GCB.pdf SUMMARY_OUTPUT=out___/s_RA17_22_33_2___GCBsummary.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 ASSUME_SORTED=false IS_BISULFITE_SEQUENCED=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 24 00:00:54 EST 2018

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
0	147859	40099	15	0.326678	0.001631
1	108735	22289	16	0.24692	0.001654
2	125328	27969	16	0.268821	0.001607
3	161707	99541	19	0.741494	0.00235
4	172430	56033	17	0.39144	0.001654
5	176048	61646	17	0.421801	0.001699
6	197132	74851	17	0.457377	0.001672
7	207827	90025	18	0.52179	0.001739
8	233446	111207	18	0.573826	0.001721
9	260866	138233	18	0.638305	0.001717
10	302776	177693	18	0.706941	0.001677
11	366886	236405	18	0.776175	0.001596
12	475988	327230	19	0.828116	0.001448
13	625806	462960	20	0.891124	0.00131
14	884586	668377	20	0.910156	0.001113
15	1299770	1026785	21	0.951584	0.000939
16	1939300	1595768	21	0.991195	0.000785
17	2908647	2542381	22	1.052892	0.00066
18	4359342	3821852	22	1.056056	0.00054
19	6430002	5717440	22	1.071087	0.000448
20	9284118	8288096	22	1.075346	0.000374
21	13051720	11559499	22	1.066855	0.000314
22	17810187	15554352	23	1.052005	0.000267
23	23626936	20262805	23	1.033062	0.000229
24	30480566	25677401	24	1.014757	0.0002
25	38211236	31840123	24	1.003732	0.000178
26	46523994	38383817	24	0.993815	0.00016
27	55206768	45240743	24	0.987124	0.000147
28	63974508	52214091	24	0.983139	0.000136
29	72527056	59074987	25	0.981155	0.000128
30	80679703	65569209	25	0.978971	0.000121
31	88258407	71695690	25	0.978523	0.000116
32	94991572	77506215	24	0.982846	0.000112
33	100740761	82792172	24	0.989961	0.000109
34	105345024	87640969	24	1.002138	0.000107
35	108891484	91919259	24	1.016826	0.000106
36	111158823	95130965	23	1.03089	0.000106
37	111918627	96982418	23	1.043818	0.000106
38	110882356	97099731	23	1.054848	0.000107
39	108379615	95602399	22	1.062565	0.000109
40	104836501	92311143	22	1.060659	0.00011
41	100572106	87509183	22	1.048118	0.000112
42	95856492	82211706	22	1.033109	0.000114
43	91174666	76805425	23	1.014733	0.000116
44	86951806	71676326	23	0.992959	0.000117
45	83368003	67595981	23	0.976688	0.000119
46	80367152	63955913	23	0.958598	0.00012
47	77839892	61388560	23	0.949991	0.000121
48	75195920	58873065	23	0.943097	0.000123
49	71904126	56027388	23	0.9386	0.000125
50	67723470	52696356	23	0.937293	0.000129
51	62843327	48857780	23	0.936502	0.000134
52	57797477	45044869	23	0.938795	0.00014
53	53096114	41518643	23	0.941921	0.000146
54	48909387	38444121	23	0.94683	0.000153
55	45220793	35803769	23	0.953729	0.000159
56	41676495	33214342	23	0.959994	0.000167
57	37911902	30420286	23	0.966545	0.000175
58	33761496	27276373	23	0.973193	0.000186
59	29258970	23807216	22	0.98013	0.000201
60	24743566	20328899	22	0.989659	0.000219
61	20577658	17081876	22	0.99994	0.000242
62	17020594	14307295	22	1.012551	0.000268
63	14078001	11999419	22	1.026723	0.000296
64	11648917	10061950	22	1.040473	0.000328
65	9624766	8430573	21	1.055118	0.000363
66	7943555	7053146	21	1.069553	0.000403
67	6468111	5827269	21	1.08523	0.00045
68	5185515	4757368	21	1.105119	0.000507
69	4154938	3848902	20	1.115852	0.000569
70	3335654	3110197	20	1.123159	0.000637
71	2671391	2504223	20	1.129197	0.000714
72	2159293	2033212	20	1.134241	0.000795
73	1761243	1685397	20	1.152702	0.000888
74	1448491	1403257	20	1.166959	0.000985
75	1216775	1199292	19	1.187268	0.001084
76	1047070	1030545	19	1.185565	0.001168
77	919438	909880	19	1.192054	0.00125
78	816646	811912	19	1.197593	0.001329
79	713614	697716	18	1.17774	0.00141
80	608483	590210	18	1.168402	0.001521
81	510800	497345	18	1.172846	0.001663
82	428056	416858	18	1.173064	0.001817
83	351779	347672	18	1.190513	0.002019
84	274259	290719	17	1.27687	0.002368
85	198758	218672	17	1.325265	0.002834
86	131616	150213	17	1.374779	0.003547
87	85463	102062	17	1.438534	0.004503
88	58702	65351	17	1.341015	0.005246
89	38045	48558	17	1.537437	0.006977
90	24959	29757	16	1.436138	0.008325
91	15854	43914	17	3.336555	0.015922
92	9379	12079	16	1.551346	0.014115
93	5880	10892	16	2.231334	0.02138
94	3408	18886	14	6.675359	0.048574
95	1663	521053	16	377.419086	0.522857
96	986	129669	16	158.413961	0.439922
97	658	1061649	15	1943.521141	1.886248
98	328	701072	15	2574.67838	3.074976
99	133	274127	14	2482.757942	4.741966
100	339	256	14	0.90965	0.056853


