## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta INPUT=out___/s_RA17_22_27_2.bam OUTPUT=out___/s_RA17_22_27_2___GCB.txt CHART_OUTPUT=out___/s_RA17_22_27_2___GCB.pdf SUMMARY_OUTPUT=out___/s_RA17_22_27_2___GCBsummary.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 ASSUME_SORTED=false IS_BISULFITE_SEQUENCED=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 20:43:41 EST 2018

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
0	147859	37620	15	0.418773	0.002159
1	108735	17277	15	0.261521	0.00199
2	125328	21931	16	0.288017	0.001945
3	161707	98249	19	1.000016	0.00319
4	172430	46478	16	0.443652	0.002058
5	176048	49191	17	0.459899	0.002074
6	197132	60250	17	0.503046	0.002049
7	207827	72604	18	0.574998	0.002134
8	233446	90679	17	0.639334	0.002123
9	260866	110838	18	0.699325	0.002101
10	302776	142065	18	0.772277	0.002049
11	366886	189022	18	0.847986	0.00195
12	475988	257333	19	0.88983	0.001754
13	625806	360252	19	0.947489	0.001579
14	884586	502361	20	0.934724	0.001319
15	1299770	764554	21	0.968165	0.001107
16	1939300	1171921	22	0.994629	0.000919
17	2908647	1846310	22	1.044771	0.000769
18	4359342	2751344	22	1.038799	0.000626
19	6430002	4086779	23	1.046111	0.000517
20	9284118	5908660	23	1.047505	0.000431
21	13051720	8251313	23	1.04055	0.000362
22	17810187	11097074	23	1.025528	0.000308
23	23626936	14478548	24	1.008615	0.000265
24	30480566	18369747	24	0.991946	0.000231
25	38211236	22790057	24	0.981662	0.000206
26	46523994	27505909	25	0.973098	0.000186
27	55206768	32439351	25	0.967136	0.00017
28	63974508	37471785	25	0.964062	0.000157
29	72527056	42407161	25	0.962381	0.000148
30	80679703	47128201	25	0.961445	0.00014
31	88258407	51551208	25	0.96137	0.000134
32	94991572	55756161	25	0.966085	0.000129
33	100740761	59584505	25	0.9735	0.000126
34	105345024	63032069	25	0.984816	0.000124
35	108891484	66072375	25	0.998697	0.000123
36	111158823	68396436	24	1.012738	0.000122
37	111918627	69739996	24	1.025622	0.000123
38	110882356	69933676	24	1.038082	0.000124
39	108379615	68923549	23	1.046713	0.000126
40	104836501	66689689	23	1.047017	0.000128
41	100572106	63449083	23	1.038378	0.00013
42	95856492	59867307	23	1.027959	0.000133
43	91174666	56170231	23	1.014004	0.000135
44	86951806	52688766	24	0.997349	0.000137
45	83368003	49860461	24	0.984384	0.000139
46	80367152	47406082	24	0.970875	0.000141
47	77839892	45630330	24	0.964848	0.000143
48	75195920	43862050	24	0.960069	0.000145
49	71904126	41851411	24	0.957997	0.000148
50	67723470	39446196	24	0.95868	0.000153
51	62843327	36664980	24	0.960285	0.000159
52	57797477	33869942	24	0.964525	0.000166
53	53096114	31283602	24	0.969754	0.000173
54	48909387	29033847	24	0.977057	0.000181
55	45220793	27079641	24	0.985627	0.000189
56	41676495	25168832	24	0.993984	0.000198
57	37911902	23095782	24	1.002686	0.000209
58	33761496	20757277	24	1.011944	0.000222
59	29258970	18151661	23	1.021092	0.00024
60	24743566	15523822	23	1.032628	0.000262
61	20577658	13080925	23	1.046286	0.000289
62	17020594	10973320	23	1.061136	0.00032
63	14078001	9232061	23	1.079358	0.000355
64	11648917	7766099	22	1.097299	0.000394
65	9624766	6518993	22	1.114803	0.000437
66	7943555	5472671	22	1.133945	0.000485
67	6468111	4531591	22	1.153137	0.000542
68	5185515	3711782	21	1.178144	0.000612
69	4154938	3016048	21	1.194762	0.000688
70	3335654	2446185	21	1.207024	0.000772
71	2671391	1979615	21	1.219694	0.000867
72	2159293	1614911	21	1.230962	0.000969
73	1761243	1344214	20	1.256194	0.001083
74	1448491	1126951	20	1.280551	0.001206
75	1216775	969198	20	1.311022	0.001332
76	1047070	838333	20	1.317797	0.001439
77	919438	745593	20	1.334711	0.001546
78	816646	668815	19	1.347969	0.001648
79	713614	579040	19	1.335528	0.001755
80	608483	490539	19	1.326884	0.001895
81	510800	417536	19	1.345398	0.002082
82	428056	351763	18	1.352562	0.002281
83	351779	294867	18	1.379634	0.002541
84	274259	246401	18	1.478731	0.002979
85	198758	185590	18	1.536872	0.003567
86	131616	130059	17	1.626445	0.00451
87	85463	89562	17	1.724858	0.005764
88	58702	57457	17	1.611008	0.006721
89	38045	43499	17	1.881869	0.009023
90	24959	26374	16	1.739228	0.010709
91	15854	38601	17	4.007444	0.020397
92	9379	10931	16	1.918276	0.018348
93	5880	9204	16	2.576363	0.026855
94	3408	14300	15	6.90628	0.057753
95	1663	414081	16	409.827183	0.636881
96	986	92139	16	153.806357	0.506702
97	658	576618	15	1442.347841	1.899441
98	328	493168	16	2474.735294	3.523963
99	133	197996	15	2450.261762	5.506609
100	339	171	14	0.830241	0.06349


