## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[out___/s_RA17_22_27_2.bam] OUTPUT=out___/s_RA17_22_27_2___MD.bam METRICS_FILE=out___/s_RA17_22_27_2___MD.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 20:43:59 EST 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
s_RA17_22_27_2	878071	877751778	9993523	355383	63200673	50623779	0.072169	26921904297

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.060212
2.0	2.086415
3.0	3.0797
4.0	4.041122
5.0	4.971704
6.0	5.872434
7.0	6.744271
8.0	7.588142
9.0	8.404943
10.0	9.195542
11.0	9.960781
12.0	10.701473
13.0	11.418405
14.0	12.112339
15.0	12.784014
16.0	13.434142
17.0	14.063416
18.0	14.672504
19.0	15.262054
20.0	15.832692
21.0	16.385025
22.0	16.919641
23.0	17.437107
24.0	17.937975
25.0	18.422775
26.0	18.892024
27.0	19.346221
28.0	19.785848
29.0	20.211372
30.0	20.623247
31.0	21.02191
32.0	21.407784
33.0	21.78128
34.0	22.142796
35.0	22.492715
36.0	22.831409
37.0	23.159238
38.0	23.476552
39.0	23.783686
40.0	24.080969
41.0	24.368715
42.0	24.647231
43.0	24.916813
44.0	25.177747
45.0	25.430311
46.0	25.674774
47.0	25.911394
48.0	26.140424
49.0	26.362108
50.0	26.57668
51.0	26.784369
52.0	26.985396
53.0	27.179975
54.0	27.368312
55.0	27.550607
56.0	27.727055
57.0	27.897842
58.0	28.063152
59.0	28.223158
60.0	28.378032
61.0	28.527938
62.0	28.673035
63.0	28.813477
64.0	28.949415
65.0	29.080992
66.0	29.208348
67.0	29.331619
68.0	29.450936
69.0	29.566425
70.0	29.67821
71.0	29.786409
72.0	29.891137
73.0	29.992505
74.0	30.090622
75.0	30.185592
76.0	30.277515
77.0	30.366489
78.0	30.452609
79.0	30.535967
80.0	30.616651
81.0	30.694747
82.0	30.770337
83.0	30.843503
84.0	30.914321
85.0	30.982868
86.0	31.049217
87.0	31.113436
88.0	31.175596
89.0	31.235762
90.0	31.293998
91.0	31.350366
92.0	31.404925
93.0	31.457735
94.0	31.50885
95.0	31.558326
96.0	31.606215
97.0	31.652567
98.0	31.697433
99.0	31.740859
100.0	31.782893

