## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[out___/s_RA17_22_2_1.bam] OUTPUT=out___/s_RA17_22_2_1___MD.bam METRICS_FILE=out___/s_RA17_22_2_1___MD.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 18:03:42 EST 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
s_RA17_22_2_1	402478	401949969	539966	122026	26711853	21165592	0.066574	12944337098

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.054726
2.0	2.077204
3.0	3.068419
4.0	4.029328
5.0	4.960857
6.0	5.863904
7.0	6.739341
8.0	7.588012
9.0	8.410734
10.0	9.208302
11.0	9.981483
12.0	10.731025
13.0	11.45765
14.0	12.162058
15.0	12.844929
16.0	13.506921
17.0	14.148672
18.0	14.770802
19.0	15.37391
20.0	15.958579
21.0	16.525371
22.0	17.074833
23.0	17.607496
24.0	18.123872
25.0	18.62446
26.0	19.109743
27.0	19.580188
28.0	20.036249
29.0	20.478366
30.0	20.906966
31.0	21.322461
32.0	21.725252
33.0	22.115728
34.0	22.494265
35.0	22.861228
36.0	23.216972
37.0	23.561838
38.0	23.89616
39.0	24.220261
40.0	24.534452
41.0	24.839036
42.0	25.134308
43.0	25.420552
44.0	25.698044
45.0	25.967052
46.0	26.227835
47.0	26.480644
48.0	26.725724
49.0	26.96331
50.0	27.193632
51.0	27.416912
52.0	27.633366
53.0	27.843201
54.0	28.04662
55.0	28.24382
56.0	28.434991
57.0	28.620316
58.0	28.799975
59.0	28.974141
60.0	29.142982
61.0	29.306661
62.0	29.465335
63.0	29.619158
64.0	29.768277
65.0	29.912838
66.0	30.052978
67.0	30.188834
68.0	30.320535
69.0	30.44821
70.0	30.571981
71.0	30.691968
72.0	30.808287
73.0	30.921049
74.0	31.030363
75.0	31.136335
76.0	31.239067
77.0	31.338658
78.0	31.435203
79.0	31.528797
80.0	31.61953
81.0	31.707488
82.0	31.792757
83.0	31.875418
84.0	31.955553
85.0	32.033237
86.0	32.108546
87.0	32.181553
88.0	32.252327
89.0	32.320937
90.0	32.38745
91.0	32.451929
92.0	32.514436
93.0	32.575033
94.0	32.633776
95.0	32.690724
96.0	32.74593
97.0	32.799449
98.0	32.851331
99.0	32.901627
100.0	32.950385

