## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta INPUT=out___/s_RA17_22_11_1.bam OUTPUT=out___/s_RA17_22_11_1___GCB.txt CHART_OUTPUT=out___/s_RA17_22_11_1___GCB.pdf SUMMARY_OUTPUT=out___/s_RA17_22_11_1___GCBsummary.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 ASSUME_SORTED=false IS_BISULFITE_SEQUENCED=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 16:05:39 EST 2018

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
0	147859	34211	15	0.435099	0.002352
1	108735	15362	16	0.265674	0.002144
2	125328	19797	16	0.297045	0.002111
3	161707	115545	20	1.34367	0.003953
4	172430	44001	16	0.479866	0.002288
5	176048	45299	17	0.483869	0.002273
6	197132	54928	17	0.523971	0.002236
7	207827	63268	18	0.57247	0.002276
8	233446	78824	18	0.634954	0.002262
9	260866	96424	18	0.695085	0.002238
10	302776	121674	18	0.755695	0.002166
11	366886	162713	18	0.833991	0.002068
12	475988	224844	19	0.888292	0.001873
13	625806	313750	20	0.942789	0.001683
14	884586	436912	20	0.928805	0.001405
15	1299770	672787	21	0.973378	0.001187
16	1939300	1037785	21	1.006312	0.000988
17	2908647	1653480	22	1.069002	0.000831
18	4359342	2452011	22	1.057723	0.000675
19	6430002	3648457	22	1.06701	0.000559
20	9284118	5270344	22	1.067502	0.000465
21	13051720	7338967	23	1.057396	0.00039
22	17810187	9849797	23	1.03999	0.000331
23	23626936	12815151	23	1.019968	0.000285
24	30480566	16216880	24	1.000494	0.000248
25	38211236	20098725	24	0.989117	0.000221
26	46523994	24205424	25	0.978377	0.000199
27	55206768	28509251	25	0.9711	0.000182
28	63974508	32918999	25	0.967632	0.000169
29	72527056	37228358	25	0.96526	0.000158
30	80679703	41350874	25	0.963809	0.00015
31	88258407	45238731	25	0.963884	0.000143
32	94991572	48958245	25	0.969195	0.000139
33	100740761	52359445	25	0.977373	0.000135
34	105345024	55516743	25	0.991015	0.000133
35	108891484	58311729	24	1.007007	0.000132
36	111158823	60460982	24	1.022826	0.000132
37	111918627	61782057	24	1.038079	0.000132
38	110882356	61979415	23	1.051128	0.000134
39	108379615	61139570	23	1.060829	0.000136
40	104836501	59092922	23	1.05997	0.000138
41	100572106	56065605	23	1.048309	0.00014
42	95856492	52736734	23	1.034575	0.000142
43	91174666	49304171	23	1.016904	0.000145
44	86951806	46072310	23	0.996396	0.000147
45	83368003	43515845	23	0.981564	0.000149
46	80367152	41208680	24	0.96423	0.00015
47	77839892	39625821	24	0.957296	0.000152
48	75195920	38065213	24	0.951929	0.000154
49	71904126	36278189	24	0.948773	0.000158
50	67723470	34166146	24	0.948696	0.000162
51	62843327	31726992	24	0.94938	0.000169
52	57797477	29276982	24	0.95255	0.000176
53	53096114	27017503	24	0.95687	0.000184
54	48909387	25060753	24	0.963546	0.000192
55	45220793	23348590	24	0.970941	0.000201
56	41676495	21681762	24	0.978304	0.00021
57	37911902	19879579	23	0.986057	0.000221
58	33761496	17843811	23	0.993885	0.000235
59	29258970	15582847	23	1.001517	0.000254
60	24743566	13309454	23	1.011506	0.000277
61	20577658	11181356	23	1.021807	0.000306
62	17020594	9360108	23	1.034133	0.000338
63	14078001	7851704	22	1.048802	0.000374
64	11648917	6589342	22	1.063719	0.000414
65	9624766	5519442	22	1.078389	0.000459
66	7943555	4623533	22	1.094535	0.000509
67	6468111	3824401	21	1.111876	0.000569
68	5185515	3126909	21	1.13395	0.000641
69	4154938	2534343	21	1.147021	0.000721
70	3335654	2056920	21	1.159596	0.000809
71	2671391	1661405	20	1.169522	0.000907
72	2159293	1354946	20	1.179997	0.001014
73	1761243	1124246	20	1.200363	0.001132
74	1448491	941420	20	1.222188	0.00126
75	1216775	806974	20	1.247153	0.001388
76	1047070	694566	20	1.247407	0.001497
77	919438	617010	19	1.261944	0.001607
78	816646	554228	19	1.276219	0.001714
79	713614	477536	19	1.258384	0.001821
80	608483	404561	19	1.250276	0.001966
81	510800	343315	18	1.263899	0.002157
82	428056	288696	18	1.268267	0.00236
83	351779	240400	18	1.285094	0.002621
84	274259	202655	18	1.389527	0.003087
85	198758	151281	17	1.431298	0.00368
86	131616	105148	17	1.502321	0.004633
87	85463	72538	17	1.596092	0.005926
88	58702	46100	17	1.476789	0.006878
89	38045	34643	17	1.712333	0.0092
90	24959	21139	16	1.592677	0.010954
91	15854	32218	17	3.821467	0.02129
92	9379	8912	16	1.786854	0.018928
93	5880	7904	16	2.527784	0.028433
94	3408	13176	15	7.270335	0.063338
95	1663	361733	17	409.040493	0.680099
96	986	76674	16	146.231733	0.528102
97	658	458175	15	1309.410794	1.934462
98	328	430290	15	2466.935708	3.760774
99	133	187178	15	2646.510269	6.117108
100	339	168	13	0.931923	0.071899


