## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectWgsMetrics INPUT=out___/s_RA17_22_32_1.bam OUTPUT=out___/s_RA17_22_32_1___WGS.txt REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 22:51:58 EST 2018

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X
2900434419	100.248149	24.245403	102	10	0.03778	0	0.000455	0.02135	0.036594	0.014627	0.110806	0.980186	0.978205	0.97663	0.975236	0.973916	0.972598	0.969611	0.96557	0.959234	0.945196	0.903641	0.790686	0.575834

## HISTOGRAM	java.lang.Integer
coverage	count
0	49069317
1	3230699
2	2077052
3	1661036
4	1430057
5	1309912
6	1206868
7	1140921
8	1068489
9	1020842
10	974801
11	939913
12	910074
13	883111
14	860268
15	837954
16	819868
17	805393
18	794832
19	783903
20	774301
21	767698
22	763160
23	760958
24	762192
25	757281
26	757124
27	761335
28	767833
29	779445
30	789220
31	799997
32	813915
33	827860
34	846686
35	869275
36	891124
37	917711
38	941579
39	967954
40	998755
41	1031062
42	1065313
43	1099399
44	1138351
45	1180025
46	1225527
47	1274433
48	1325605
49	1381886
50	1438692
51	1503021
52	1572323
53	1650859
54	1737406
55	1832687
56	1948324
57	2075410
58	2226112
59	2391174
60	2588055
61	2802947
62	3048269
63	3340629
64	3669525
65	4055048
66	4491559
67	4987469
68	5546529
69	6186279
70	6915982
71	7735281
72	8660670
73	9700878
74	10856633
75	12151276
76	13591103
77	15173465
78	16921294
79	18821402
80	20902759
81	23144569
82	25557680
83	28116264
84	30824567
85	33683106
86	36650894
87	39741402
88	42896942
89	46099905
90	49323601
91	52535079
92	55695112
93	58739724
94	61682847
95	64460065
96	67017888
97	69327600
98	71346321
99	73035614
100	74414642
101	75437522
102	76045143
103	76290013
104	76134606
105	75578138
106	74669701
107	73390100
108	71758490
109	69812835
110	67596876
111	65121966
112	62432783
113	59570359
114	56561520
115	53451853
116	50291751
117	47091045
118	43880196
119	40703713
120	37594679
121	34587516
122	31676881
123	28890223
124	26237268
125	23732137
126	21392634
127	19217415
128	17198904
129	15342959
130	13640463
131	12087054
132	10677354
133	9409860
134	8271137
135	7247188
136	6334407
137	5525023
138	4815684
139	4187449
140	3638560
141	3156595
142	2740080
143	2375510
144	2062000
145	1787966
146	1551895
147	1351283
148	1176654
149	1027848
150	900389
151	790639
152	695806
153	617212
154	548055
155	488294
156	438224
157	395215
158	359683
159	327505
160	300197
161	275477
162	256686
163	239207
164	222795
165	209617
166	198917
167	189752
168	179914
169	171834
170	165507
171	159012
172	152788
173	148609
174	143639
175	140529
176	137319
177	133570
178	131291
179	128484
180	125921
181	124077
182	122085
183	120848
184	119055
185	117882
186	116102
187	114936
188	113498
189	111815
190	110025
191	108705
192	107614
193	106938
194	106082
195	104991
196	104461
197	103358
198	102558
199	102342
200	99779
201	99512
202	98542
203	97672
204	96581
205	95547
206	94484
207	93463
208	93077
209	91337
210	90064
211	88708
212	87646
213	86028
214	85814
215	84562
216	83055
217	81435
218	80531
219	79025
220	78056
221	76183
222	75708
223	73728
224	72730
225	71481
226	70445
227	68821
228	68034
229	66899
230	66399
231	64655
232	64115
233	63225
234	61889
235	60878
236	60183
237	59345
238	58033
239	57144
240	56283
241	55573
242	54975
243	53831
244	53357
245	52904
246	51944
247	50982
248	50287
249	49353
250	5838226

