## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectWgsMetrics INPUT=out___/s_RA17_22_24_3.bam OUTPUT=out___/s_RA17_22_24_3___WGS.txt REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 18:32:29 EST 2018

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X
2900434419	76.078861	27.670583	74	14	0.060238	0	0.000724	0.024835	0.062056	0.027624	0.175477	0.97895	0.976691	0.974872	0.97307	0.970499	0.965123	0.93449	0.877109	0.777386	0.598048	0.398916	0.258249	0.167773

## HISTOGRAM	java.lang.Integer
coverage	count
0	51862710
1	3466685
2	2282046
3	1826817
4	1616030
5	1472387
6	1383843
7	1299967
8	1231223
9	1165569
10	1119148
11	1075940
12	1047844
13	1022815
14	1010132
15	1006537
16	1009842
17	1027509
18	1065099
19	1117929
20	1191458
21	1297852
22	1444155
23	1635526
24	1886383
25	2191046
26	2575344
27	3039193
28	3580206
29	4207798
30	4916932
31	5700769
32	6545133
33	7450170
34	8396105
35	9348076
36	10288213
37	11205550
38	12088650
39	12909166
40	13681728
41	14395865
42	15049724
43	15667582
44	16260190
45	16847809
46	17490349
47	18180243
48	18970259
49	19886423
50	20951304
51	22193488
52	23647477
53	25300306
54	27164936
55	29235185
56	31469001
57	33865396
58	36386827
59	39024863
60	41683986
61	44352709
62	46955166
63	49477298
64	51804168
65	53964604
66	55877447
67	57481050
68	58796976
69	59764443
70	60368831
71	60637626
72	60533819
73	60123798
74	59384911
75	58338924
76	57044712
77	55491362
78	53768958
79	51878335
80	49864495
81	47815643
82	45715504
83	43605566
84	41534818
85	39531430
86	37607664
87	35770152
88	34067699
89	32481693
90	30999278
91	29669923
92	28443713
93	27347749
94	26341655
95	25427818
96	24602141
97	23863529
98	23180901
99	22543065
100	21936896
101	21367876
102	20814068
103	20255876
104	19706479
105	19148332
106	18588727
107	18007483
108	17426698
109	16838989
110	16213908
111	15598315
112	14964642
113	14327339
114	13685710
115	13052704
116	12431176
117	11797918
118	11175501
119	10571130
120	9967744
121	9388170
122	8827110
123	8280221
124	7758413
125	7261751
126	6784754
127	6329046
128	5902412
129	5493838
130	5110840
131	4754132
132	4420092
133	4104385
134	3811425
135	3540439
136	3291715
137	3055793
138	2838851
139	2637046
140	2448563
141	2274311
142	2111423
143	1963213
144	1823714
145	1694581
146	1575610
147	1464153
148	1361056
149	1269983
150	1183271
151	1102380
152	1028669
153	959581
154	895517
155	836861
156	781772
157	732099
158	684305
159	643334
160	602567
161	565608
162	531272
163	499981
164	469430
165	443399
166	416237
167	392985
168	371171
169	352063
170	332518
171	314006
172	298007
173	284404
174	269091
175	256428
176	245004
177	233092
178	222749
179	213390
180	203148
181	194707
182	186748
183	179140
184	172324
185	165802
186	159434
187	153507
188	148146
189	143546
190	138559
191	133060
192	128718
193	124468
194	120343
195	115882
196	112217
197	109067
198	105545
199	102210
200	98510
201	96531
202	93285
203	90204
204	88518
205	85538
206	83041
207	80343
208	78223
209	76738
210	74342
211	72915
212	70434
213	69180
214	67440
215	66121
216	64471
217	62096
218	61285
219	59902
220	59047
221	57592
222	56230
223	55377
224	54185
225	53021
226	51884
227	50664
228	50706
229	49819
230	48441
231	47652
232	47262
233	46403
234	45849
235	44958
236	44327
237	43944
238	43037
239	42617
240	41921
241	41552
242	40986
243	40259
244	39934
245	39262
246	38514
247	38444
248	37863
249	37138
250	5173790

