## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta INPUT=out___/s_RA17_22_39_6.bam OUTPUT=out___/s_RA17_22_39_6___GCB.txt CHART_OUTPUT=out___/s_RA17_22_39_6___GCB.pdf SUMMARY_OUTPUT=out___/s_RA17_22_39_6___GCBsummary.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 ASSUME_SORTED=false IS_BISULFITE_SEQUENCED=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 24 01:55:53 EST 2018

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
0	147859	82032	17	0.619381	0.002163
1	108735	20669	16	0.212213	0.001476
2	125328	26040	16	0.231961	0.001437
3	161707	149714	20	1.033608	0.002671
4	172430	57937	16	0.375116	0.001558
5	176048	60197	17	0.381739	0.001556
6	197132	74456	17	0.421662	0.001545
7	207827	86382	18	0.464027	0.001579
8	233446	107420	18	0.513714	0.001567
9	260866	131579	18	0.563108	0.001552
10	302776	167625	18	0.618073	0.00151
11	366886	224692	18	0.683721	0.001442
12	475988	311322	19	0.73019	0.001309
13	625806	440957	20	0.786645	0.001185
14	884586	617844	20	0.77976	0.000992
15	1299770	957842	21	0.822715	0.000841
16	1939300	1486655	21	0.85583	0.000702
17	2908647	2391227	22	0.917808	0.000594
18	4359342	3574092	22	0.915308	0.000484
19	6430002	5338278	22	0.926856	0.000401
20	9284118	7751185	22	0.932073	0.000335
21	13051720	10851873	22	0.928238	0.000282
22	17810187	14634623	23	0.917351	0.00024
23	23626936	19133746	23	0.904097	0.000207
24	30480566	24295696	24	0.889874	0.000181
25	38211236	30218623	24	0.882889	0.000161
26	46523994	36572204	25	0.8776	0.000145
27	55206768	43320856	25	0.876046	0.000133
28	63974508	50302410	25	0.877817	0.000124
29	72527056	57268112	25	0.881526	0.000116
30	80679703	63992581	25	0.885498	0.000111
31	88258407	70584310	25	0.892842	0.000106
32	94991572	77185607	25	0.907138	0.000103
33	100740761	83634530	25	0.926836	0.000101
34	105345024	90025742	24	0.954058	0.000101
35	108891484	96222528	24	0.986518	0.000101
36	111158823	101340284	23	1.017795	0.000101
37	111918627	105048480	23	1.047875	0.000102
38	110882356	107330102	22	1.080641	0.000104
39	108379615	107605383	22	1.108431	0.000107
40	104836501	104931436	21	1.117417	0.000109
41	100572106	99732279	21	1.107084	0.000111
42	95856492	93528051	22	1.089288	0.000113
43	91174666	87406403	22	1.070265	0.000114
44	86951806	80878904	22	1.038434	0.000115
45	83368003	75891411	23	1.016285	0.000117
46	80367152	71101180	23	0.98769	0.000117
47	77839892	68423073	23	0.981347	0.000119
48	75195920	65861780	23	0.977826	0.00012
49	71904126	62886520	24	0.976396	0.000123
50	67723470	59282449	24	0.977258	0.000127
51	62843327	54939487	24	0.975995	0.000132
52	57797477	50552133	24	0.976456	0.000137
53	53096114	46542229	24	0.978603	0.000143
54	48909387	43092173	24	0.983623	0.00015
55	45220793	40229290	24	0.993177	0.000157
56	41676495	37440526	24	1.002936	0.000164
57	37911902	34438571	23	1.014126	0.000173
58	33761496	31032661	23	1.026171	0.000184
59	29258970	27193192	23	1.037584	0.000199
60	24743566	23335032	23	1.052855	0.000218
61	20577658	19733256	23	1.070595	0.000241
62	17020594	16634831	23	1.091104	0.000268
63	14078001	14053179	22	1.114438	0.000297
64	11648917	11884071	22	1.138943	0.00033
65	9624766	10018341	22	1.162058	0.000367
66	7943555	8452053	22	1.187872	0.000409
67	6468111	7020672	21	1.211779	0.000457
68	5185515	5775455	21	1.243416	0.000517
69	4154938	4712890	21	1.266325	0.000583
70	3335654	3818810	21	1.278113	0.000654
71	2671391	3091800	21	1.2921	0.000735
72	2159293	2523716	20	1.304822	0.000821
73	1761243	2111675	20	1.338536	0.000921
74	1448491	1790620	20	1.380098	0.001031
75	1216775	1568807	20	1.4394	0.001149
76	1047070	1364647	20	1.455013	0.001246
77	919438	1230882	19	1.49457	0.001347
78	816646	1116368	19	1.526145	0.001444
79	713614	969412	19	1.516587	0.00154
80	608483	823223	19	1.510398	0.001665
81	510800	723658	18	1.58163	0.001859
82	428056	617742	18	1.611123	0.00205
83	351779	524829	18	1.665598	0.002299
84	274259	453521	18	1.846115	0.002741
85	198758	341162	17	1.916277	0.003281
86	131616	260133	17	2.206526	0.004326
87	85463	184052	17	2.404278	0.005604
88	58702	119753	17	2.277486	0.006581
89	38045	93406	16	2.74094	0.008968
90	24959	56869	16	2.543728	0.010667
91	15854	75421	16	5.310993	0.019339
92	9379	23957	16	2.851663	0.018424
93	5880	17311	16	3.286753	0.024981
94	3408	25001	15	8.189928	0.051797
95	1663	676352	16	454.049093	0.552098
96	986	155115	16	175.630188	0.445936
97	658	941731	15	1597.80309	1.646493
98	328	838934	16	2855.461016	3.117542
99	133	343438	15	2882.829707	4.919204
100	339	317	14	1.043955	0.058634


