## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[out___/s_RA16_8_7_2.bam] OUTPUT=out___/s_RA16_8_7_2___MD.bam METRICS_FILE=out___/s_RA16_8_7_2___MD.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 10:06:10 EST 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
s_RA16_8_7_2	93497	94900683	182449	17571	5824014	4786196	0.061432	3882256841

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.052466
2.0	2.079517
3.0	3.081766
4.0	4.059812
5.0	5.01424
6.0	5.945621
7.0	6.85451
8.0	7.74145
9.0	8.606973
10.0	9.451595
11.0	10.27582
12.0	11.080142
13.0	11.86504
14.0	12.630985
15.0	13.378433
16.0	14.107832
17.0	14.819617
18.0	15.514213
19.0	16.192037
20.0	16.853491
21.0	17.498973
22.0	18.128867
23.0	18.743551
24.0	19.343391
25.0	19.928745
26.0	20.499965
27.0	21.05739
28.0	21.601354
29.0	22.132183
30.0	22.650193
31.0	23.155694
32.0	23.648988
33.0	24.130369
34.0	24.600126
35.0	25.058539
36.0	25.505882
37.0	25.942423
38.0	26.368422
39.0	26.784133
40.0	27.189806
41.0	27.585683
42.0	27.972
43.0	28.348988
44.0	28.716872
45.0	29.075872
46.0	29.426203
47.0	29.768075
48.0	30.10169
49.0	30.42725
50.0	30.744947
51.0	31.054973
52.0	31.357512
53.0	31.652745
54.0	31.940849
55.0	32.221996
56.0	32.496353
57.0	32.764085
58.0	33.025352
59.0	33.28031
60.0	33.529111
61.0	33.771903
62.0	34.008833
63.0	34.240041
64.0	34.465666
65.0	34.685842
66.0	34.900702
67.0	35.110373
68.0	35.314981
69.0	35.514648
70.0	35.709493
71.0	35.899633
72.0	36.085181
73.0	36.266249
74.0	36.442944
75.0	36.615373
76.0	36.783637
77.0	36.947839
78.0	37.108075
79.0	37.264441
80.0	37.417032
81.0	37.565938
82.0	37.711247
83.0	37.853048
84.0	37.991425
85.0	38.12646
86.0	38.258234
87.0	38.386826
88.0	38.512313
89.0	38.63477
90.0	38.754269
91.0	38.870883
92.0	38.98468
93.0	39.09573
94.0	39.204098
95.0	39.309849
96.0	39.413046
97.0	39.513752
98.0	39.612025
99.0	39.707925
100.0	39.80151

