## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta INPUT=out___/s_RA17_22_32_1.bam OUTPUT=out___/s_RA17_22_32_1___GCB.txt CHART_OUTPUT=out___/s_RA17_22_32_1___GCB.pdf SUMMARY_OUTPUT=out___/s_RA17_22_32_1___GCBsummary.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 ASSUME_SORTED=false IS_BISULFITE_SEQUENCED=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 22:51:58 EST 2018

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
0	147859	41819	15	0.374322	0.00183
1	108735	20773	15	0.252842	0.001754
2	125328	26718	16	0.282147	0.001726
3	161707	102870	19	0.841937	0.002625
4	172430	53303	17	0.409127	0.001772
5	176048	56980	17	0.428362	0.001795
6	197132	69333	17	0.465481	0.001768
7	207827	83144	18	0.529479	0.001836
8	233446	101588	18	0.575938	0.001807
9	260866	125590	18	0.637173	0.001798
10	302776	160600	18	0.70201	0.001752
11	366886	214819	18	0.774927	0.001672
12	475988	295609	19	0.821942	0.001512
13	625806	421567	20	0.891551	0.001373
14	884586	600242	20	0.898061	0.001159
15	1299770	925155	21	0.942036	0.000979
16	1939300	1428103	22	0.974617	0.000816
17	2908647	2265225	22	1.030718	0.000685
18	4359342	3391367	22	1.029611	0.000559
19	6430002	5072776	22	1.044129	0.000464
20	9284118	7353253	23	1.048234	0.000387
21	13051720	10287022	23	1.043137	0.000325
22	17810187	13887641	23	1.031999	0.000277
23	23626936	18165784	23	1.017574	0.000239
24	30480566	23100268	24	1.003029	0.000209
25	38211236	28710792	24	0.994428	0.000186
26	46523994	34680980	24	0.986583	0.000168
27	55206768	40950938	25	0.981728	0.000153
28	63974508	47345454	25	0.979469	0.000142
29	72527056	53604684	25	0.978188	0.000134
30	80679703	59566226	25	0.977137	0.000127
31	88258407	65201415	25	0.977733	0.000121
32	94991572	70492218	25	0.982145	0.000117
33	100740761	75256024	25	0.988679	0.000114
34	105345024	79532310	24	0.999192	0.000112
35	108891484	83224223	24	1.011522	0.000111
36	111158823	85971877	24	1.023604	0.00011
37	111918627	87502937	24	1.03476	0.000111
38	110882356	87519810	23	1.044632	0.000112
39	108379615	86139166	23	1.051895	0.000113
40	104836501	83289506	23	1.051471	0.000115
41	100572106	79167412	23	1.04181	0.000117
42	95856492	74618173	23	1.03025	0.000119
43	91174666	69942708	23	1.015284	0.000121
44	86951806	65536179	23	0.997521	0.000123
45	83368003	61982621	23	0.983988	0.000125
46	80367152	58818085	24	0.968616	0.000126
47	77839892	56516544	24	0.960932	0.000128
48	75195920	54235896	24	0.954579	0.00013
49	71904126	51624120	24	0.950207	0.000132
50	67723470	48544885	24	0.948689	0.000136
51	62843327	45010948	24	0.947935	0.000141
52	57797477	41482831	24	0.949902	0.000147
53	53096114	38237450	24	0.953116	0.000154
54	48909387	35394141	24	0.957764	0.000161
55	45220793	32938286	24	0.964012	0.000168
56	41676495	30553700	23	0.970269	0.000176
57	37911902	27983231	23	0.976881	0.000185
58	33761496	25079005	23	0.983124	0.000196
59	29258970	21887915	23	0.990068	0.000212
60	24743566	18680646	23	0.999192	0.000231
61	20577658	15696905	23	1.009573	0.000255
62	17020594	13152536	22	1.022714	0.000282
63	14078001	11028515	22	1.036801	0.000312
64	11648917	9256738	22	1.0517	0.000346
65	9624766	7748312	22	1.065458	0.000383
66	7943555	6486739	22	1.080764	0.000424
67	6468111	5358922	21	1.096527	0.000474
68	5185515	4365944	21	1.114309	0.000533
69	4154938	3537122	21	1.126691	0.000599
70	3335654	2865563	21	1.136968	0.000672
71	2671391	2311950	20	1.145409	0.000753
72	2159293	1880055	20	1.152334	0.00084
73	1761243	1558706	20	1.17129	0.000938
74	1448491	1301825	20	1.189478	0.001043
75	1216775	1117959	20	1.216004	0.00115
76	1047070	961647	20	1.215512	0.00124
77	919438	850294	19	1.223957	0.001327
78	816646	761019	19	1.233335	0.001414
79	713614	657780	19	1.219935	0.001504
80	608483	555720	19	1.208724	0.001621
81	510800	471728	18	1.222251	0.00178
82	428056	394558	18	1.219915	0.001942
83	351779	329651	18	1.240235	0.00216
84	274259	275843	18	1.33113	0.002534
85	198758	206410	17	1.374439	0.003025
86	131616	143765	17	1.445653	0.003813
87	85463	98641	17	1.527562	0.004864
88	58702	63282	17	1.426746	0.005672
89	38045	47300	17	1.645444	0.007566
90	24959	28712	16	1.522494	0.008985
91	15854	43939	17	3.668012	0.017499
92	9379	11765	16	1.660179	0.015306
93	5880	10605	16	2.387002	0.023179
94	3408	16527	15	6.41821	0.049925
95	1663	456572	16	363.359472	0.537752
96	986	107814	16	144.716385	0.440738
97	658	655246	15	1317.947001	1.628155
98	328	570487	15	2301.926062	3.047674
99	133	228615	15	2274.953596	4.757953
100	339	272	14	1.061912	0.064388


