## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[out___/s_RA17_22_32_1.bam] OUTPUT=out___/s_RA17_22_32_1___MD.bam METRICS_FILE=out___/s_RA17_22_32_1___MD.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 22:51:58 EST 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
s_RA17_22_32_1	1242933	1091674874	2025593	532607	72324600	56378114	0.066457	33261392574

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.053567
2.0	2.073117
3.0	3.059747
4.0	4.01452
5.0	4.938466
6.0	5.832579
7.0	6.697822
8.0	7.535128
9.0	8.345399
10.0	9.129508
11.0	9.888299
12.0	10.62259
13.0	11.333172
14.0	12.02081
15.0	12.686246
16.0	13.330196
17.0	13.953354
18.0	14.556391
19.0	15.139957
20.0	15.704681
21.0	16.251171
22.0	16.780015
23.0	17.291784
24.0	17.787029
25.0	18.266284
26.0	18.730064
27.0	19.178869
28.0	19.613183
29.0	20.033474
30.0	20.440194
31.0	20.833782
32.0	21.214662
33.0	21.583244
34.0	21.939925
35.0	22.285089
36.0	22.619109
37.0	22.942343
38.0	23.255141
39.0	23.557839
40.0	23.850764
41.0	24.13423
42.0	24.408544
43.0	24.674001
44.0	24.930886
45.0	25.179478
46.0	25.420042
47.0	25.652839
48.0	25.87812
49.0	26.096127
50.0	26.307094
51.0	26.51125
52.0	26.708814
53.0	26.899999
54.0	27.085011
55.0	27.264049
56.0	27.437306
57.0	27.604969
58.0	27.767219
59.0	27.924229
60.0	28.076171
61.0	28.223206
62.0	28.365494
63.0	28.503187
64.0	28.636435
65.0	28.76538
66.0	28.890162
67.0	29.010915
68.0	29.127769
69.0	29.24085
70.0	29.350279
71.0	29.456176
72.0	29.558653
73.0	29.657821
74.0	29.753788
75.0	29.846656
76.0	29.936525
77.0	30.023492
78.0	30.107652
79.0	30.189094
80.0	30.267907
81.0	30.344174
82.0	30.41798
83.0	30.489402
84.0	30.558518
85.0	30.625402
86.0	30.690127
87.0	30.752762
88.0	30.813375
89.0	30.87203
90.0	30.928792
91.0	30.983721
92.0	31.036876
93.0	31.088315
94.0	31.138094
95.0	31.186265
96.0	31.23288
97.0	31.277991
98.0	31.321644
99.0	31.363889
100.0	31.404769

