## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[out___/s_RA17_22_33_2.bam] OUTPUT=out___/s_RA17_22_33_2___MD.bam METRICS_FILE=out___/s_RA17_22_33_2___MD.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 24 00:00:54 EST 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
s_RA17_22_33_2	1777898	1198872806	2689294	786733	89966583	69935965	0.075315	31436320345

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.060775
2.0	2.081858
3.0	3.064733
4.0	4.01083
5.0	4.921526
6.0	5.798145
7.0	6.641963
8.0	7.454206
9.0	8.236055
10.0	8.98865
11.0	9.713083
12.0	10.410409
13.0	11.081642
14.0	11.727759
15.0	12.349699
16.0	12.948367
17.0	13.524634
18.0	14.079337
19.0	14.613285
20.0	15.127252
21.0	15.621988
22.0	16.098212
23.0	16.556616
24.0	16.997868
25.0	17.422608
26.0	17.831455
27.0	18.225004
28.0	18.603827
29.0	18.968474
30.0	19.319478
31.0	19.657347
32.0	19.982573
33.0	20.29563
34.0	20.596973
35.0	20.887041
36.0	21.166254
37.0	21.435019
38.0	21.693728
39.0	21.942756
40.0	22.182466
41.0	22.413207
42.0	22.635313
43.0	22.849109
44.0	23.054904
45.0	23.252999
46.0	23.443682
47.0	23.62723
48.0	23.803909
49.0	23.973978
50.0	24.137682
51.0	24.295261
52.0	24.446944
53.0	24.592951
54.0	24.733495
55.0	24.86878
56.0	24.999002
57.0	25.124352
58.0	25.245011
59.0	25.361156
60.0	25.472954
61.0	25.58057
62.0	25.684158
63.0	25.78387
64.0	25.879852
65.0	25.972241
66.0	26.061174
67.0	26.146779
68.0	26.229181
69.0	26.308499
70.0	26.38485
71.0	26.458343
72.0	26.529086
73.0	26.597183
74.0	26.662731
75.0	26.725827
76.0	26.786561
77.0	26.845023
78.0	26.901298
79.0	26.955467
80.0	27.007608
81.0	27.057799
82.0	27.106112
83.0	27.152617
84.0	27.197382
85.0	27.240471
86.0	27.281949
87.0	27.321874
88.0	27.360306
89.0	27.397299
90.0	27.432908
91.0	27.467185
92.0	27.500179
93.0	27.531938
94.0	27.56251
95.0	27.591937
96.0	27.620263
97.0	27.647529
98.0	27.673775
99.0	27.699039
100.0	27.723357

